x position (step #),y position (step #),z position (step #),B_x (microT),B_z (microT),B_z (microT)
0,0,0,-466.125,-429.225,-619.641
0,1,0,-732.6,-774.4499999999999,-819.654
0,2,0,-775.7249999999999,-1141.1999999999998,-966.185
0,3,0,-984.3,-1969.1999999999998,-1200.32
0,4,0,-699.0,-2198.25,-1343.705
0,5,0,-580.35,-3031.2,-1558.722
0,6,0,-285.525,-2749.2,-1631.9270000000001
0,7,0,-97.35,-3322.5,-1795.156
0,8,0,61.875,-2801.625,-1761.8809999999999
0,9,0,220.04999999999998,-3169.65,-1831.214
0,10,0,324.29999999999995,-2582.85,-1688.313
0,11,0,537.75,-2841.6,-1674.156
0,12,0,595.575,-2097.6,-1440.989
0,13,0,831.6,-2035.9499999999998,-1338.744
1,0,0,-660.15,-499.79999999999995,-698.654
1,1,0,-1056.75,-962.25,-890.56
1,2,0,-1658.1,-1947.75,-1031.1619999999998
1,3,0,-1538.25,-2911.65,-1185.074
1,4,0,-1142.3999999999999,-3563.1,-1381.578
1,5,0,-796.65,-4569.0,-1516.3719999999998
1,6,0,-439.5,-689.925,-1467.2459999999999
1,7,0,-97.05,-4881.0,-1828.7939999999999
1,8,0,109.64999999999999,-4418.849999999999,-1929.7079999999999
1,9,0,313.05,-4623.9,-1919.7859999999998
1,10,0,561.075,-228.0,-1748.4499999999998
1,11,0,740.25,-4162.65,-1757.646
1,12,0,1131.075,688.425,-1502.4569999999999
1,13,0,1225.95,-2936.1,-1420.782
2,0,0,-947.8499999999999,-509.54999999999995,-768.108
2,1,0,-1712.6999999999998,-1119.675,-926.0129999999999
2,2,0,-2937.6,-2616.2999999999997,-776.578
2,3,0,-3245.1,27.449999999999818,-273.46000000000004
2,4,0,-2278.2749999999996,3019.125,-90.38699999999994
2,5,0,-1398.0,1483.1999999999998,107.44800000000004
2,6,0,-590.55,125.55,414.788
2,7,0,-75.15,1070.925,-437.05199999999996
2,8,0,242.4,1683.3,-875.193
2,9,0,517.875,1539.675,-817.234
2,10,0,887.85,669.15,-282.17199999999997
2,11,0,1174.5,2244.45,-810.579
2,12,0,1892.25,2308.35,-473.11
2,13,0,2333.25,-459.0,-797.0269999999999
3,0,0,-1468.35,-375.825,-804.1659999999999
3,1,0,-3096.375,-923.0249999999999,-666.468
3,2,0,-757.1999999999998,-2842.425,853.8969999999999
3,3,0,1963.1999999999998,3216.825,-1416.668
3,4,0,159.07500000000005,-770.4,1268.4430000000002
3,5,0,-2197.2749999999996,-1940.7,3273.1710000000003
3,6,0,-733.575,-2783.85,1296.273
3,7,0,-43.949999999999996,-2709.375,2044.4160000000002
3,8,0,418.42499999999995,-3068.625,-129.22799999999984
3,9,0,766.95,-3010.65,484.7260000000001
3,10,0,1164.6,-2944.425,-403.172
3,11,0,1890.225,-2686.5,-258.0930000000003
3,12,0,3115.425,-1670.6999999999998,-2248.785
3,13,0,564.0000000000002,450.97499999999997,-2670.349
4,0,0,-1673.25,-70.95,-788.678
4,1,0,-3683.25,-25.5,-464.39799999999997
4,2,0,2090.4,-488.7,2434.7619999999997
4,3,0,-590.85,89.39999999999999,-4096.092
4,4,0,3362.4,-2365.65,3424.058
4,5,0,-3050.1,-1149.75,5192.836
4,6,0,-1157.7,-3870.45,4803.7
4,7,0,-492.45,-2869.65,4967.2919999999995
4,8,0,133.79999999999998,3890.7,4098.028
4,9,0,456.0,-4912.8,4324.54
4,10,0,1029.6,3322.35,3792.624
4,11,0,1972.05,3565.35,3872.0
4,12,0,4063.2,1363.35,1792.01
4,13,0,-1587.1499999999999,4030.7999999999997,-702.042
5,0,0,-1532.3249999999998,260.625,-771.2539999999999
5,1,0,-3034.425,860.55,-592.9
5,2,0,3722.7,2209.7999999999997,1213.872
5,3,0,2183.175,-3403.35,-1510.0800000000002
5,4,0,3731.0249999999996,-906.525,-3488.672
